"date","Search_Terms","searches"
2021-12-26,"election",0
2022-01-02,"Donald Trump",0
2022-01-02,"Kamala Harris",0
2022-01-02,"election",0
2022-01-09,"Donald Trump",0
2022-01-09,"Kamala Harris",0
2022-01-09,"election",0
2022-01-16,"Donald Trump",0
2022-01-16,"Kamala Harris",0
2022-01-16,"election",0
2022-01-23,"Donald Trump",0
2022-01-23,"Kamala Harris",0
2022-01-23,"election",0
2022-01-30,"Donald Trump",0
2022-01-30,"Kamala Harris",0
2022-01-30,"election",0
2022-02-06,"Donald Trump",0
2022-02-06,"Kamala Harris",0
2022-02-06,"election",0
2022-02-13,"Donald Trump",0
2022-02-13,"Kamala Harris",0
2022-02-13,"election",0
2022-02-20,"Donald Trump",0
2022-02-20,"Kamala Harris",0
2022-02-20,"election",0
2022-02-27,"Donald Trump",0
2022-02-27,"Kamala Harris",0
2022-02-27,"election",0
2022-03-06,"Donald Trump",0
2022-03-06,"Kamala Harris",0
2022-03-06,"election",0
2022-03-13,"Donald Trump",0
2022-03-13,"Kamala Harris",0
2022-03-13,"election",0
2022-03-20,"Donald Trump",0
2022-03-20,"Kamala Harris",0
2022-03-20,"election",0
2022-03-27,"Donald Trump",0
2022-03-27,"Kamala Harris",0
2022-03-27,"election",0
2022-04-03,"Donald Trump",0
2022-04-03,"Kamala Harris",0
2022-04-03,"election",0
2022-04-10,"Donald Trump",0
2022-04-10,"Kamala Harris",0
2022-04-10,"election",0
2022-04-17,"Donald Trump",0
2022-04-17,"Kamala Harris",0
2022-04-17,"election",0
2022-04-24,"Donald Trump",0
2022-04-24,"Kamala Harris",0
2022-04-24,"election",0
2022-05-01,"Donald Trump",0
2022-05-01,"Kamala Harris",0
2022-05-01,"election",0
2022-05-08,"Donald Trump",0
2022-05-08,"Kamala Harris",0
2022-05-08,"election",0
2022-05-15,"Donald Trump",0
2022-05-15,"Kamala Harris",0
2022-05-15,"election",0
2022-05-22,"Donald Trump",0
2022-05-22,"Kamala Harris",0
2022-05-22,"election",0
2022-05-29,"Donald Trump",0
2022-05-29,"Kamala Harris",0
2022-05-29,"election",0
2022-06-05,"Donald Trump",0
